"","type","stratcat","group","est","slope","pval","std_err_slope","tval","adj_r2","sig","sigpos","signeg"
"p1","YEAR","GBstrat","","197993.539675726",-87.7525339784013,0.79267389804342,"331.521527894327","-0.264696336722883",-0.0244269577704144,0,0,0
"p1.1","YEAR","GBstrat","euphausiid","5785.56124789379",-2.44949468854724,0.855554736311143,"13.3649524508375","-0.183277471248597",-0.0254093645245568,0,0,0
"p1.2","YEAR","GBstrat","lg_zoop","-161054.768279528",85.0509608435703,0.426931263613531,"105.907809046522","0.803066002490999",-0.00918840151681266,0,0,0
"p1.3","YEAR","GBstrat","shrimp","71634.2303149096",-35.4620356914574,0.0255887118154391,"15.2609665116428","-2.32370837485312",0.101374632989549,1,0,1
"p1.4","YEAR","GBstrat","sm_zoop","12556965.5273906",-6174.30212266186,0.081805366354206,"3453.81160195091","-1.78767774107142",0.0533013595562611,0,0,0
"p1.5","YEAR","GBstrat","Clupeid","-318.505671875934",0.161002591942998,0.0602190899435906,"0.0831239961890493","1.93689667634396",0.0659033616750483,0,0,0
"p1.6","YEAR","GBstrat","Flatfish","-62.4359719805342",0.0345924294396361,0.539255506494768,"0.0558353380919921","0.619543654999331",-0.0160527386108673,0,0,0
"p1.7","YEAR","GBstrat","Large_Gadid","-3840.00249146076",1.93704733829168,2.91657419203318e-05,"0.408054905421179","4.74702622749343",0.355736713629263,1,1,0
"p1.8","YEAR","GBstrat","Meso_pelagic","0.154149762387045",-7.56512036963816e-05,0.419181358091839,"9.26284792317545e-05","-0.816716460464647",-0.00861132234809592,0,0,0
"p1.9","YEAR","GBstrat","Misc_Fish","62.3554312957467",-0.0291180988468535,0.327131314269917,"0.0293319604765723","-0.992708921386636",-0.000372677231433638,0,0,0
"p1.10","YEAR","GBstrat","Sandlance","7.02559847798408",-0.00347264695295907,0.0402040976146423,"0.00163310602218371","-2.12640631152387",0.08481377112763,1,0,1
"p1.11","YEAR","GBstrat","Scombrid","-289.583700169761",0.145702989356746,0.00332811836975662,"0.0465089261065465","3.13279625126061",0.184346349109946,1,1,0
"p1.12","YEAR","GBstrat","Small_Gadid","84.0941268447116",-0.0390929793085368,0.19323176266138,"0.0295141673056634","-1.32454962742708",0.0189772984535643,0,0,0
